"","ID","Group.1","sex","age","PA_mean","MT_mean","GM_mean","Fell","genre","wm"
"1",13,13,2,38,4.77777777777778,1.71428571428571,2.42857142857143,0,"rock",0
"2",13,13,2,38,4.77777777777778,1.71428571428571,2.42857142857143,0,"classical",0
"3",19,19,1,39,4.33333333333333,1.71428571428571,2,1,"rock",0
"4",19,19,1,39,4.33333333333333,1.71428571428571,2,1,"classical",0
"5",128,128,1,28,7,5.71428571428571,6.28571428571429,0,"rock",1
"6",128,128,1,28,7,5.71428571428571,6.28571428571429,0,"classical",1
"7",144,144,1,19,4.11111111111111,2.14285714285714,2.42857142857143,0,"rock",1
"8",144,144,1,19,4.11111111111111,2.14285714285714,2.42857142857143,0,"classical",1
"9",149,149,2,22,5.77777777777778,4.85714285714286,5.42857142857143,1,"classical",0
"10",149,149,2,22,5.77777777777778,4.85714285714286,5.42857142857143,0,"rock",0
"11",157,157,2,56,5.88888888888889,4.85714285714286,5.14285714285714,1,"classical",0
"12",157,157,2,56,5.88888888888889,4.85714285714286,5.14285714285714,1,"rock",0
"13",3217,3217,1,32,4.55555555555556,1.14285714285714,2,1,"rock",0
"14",3217,3217,1,32,4.55555555555556,1.14285714285714,2,0,"classical",0
"15",3226,3226,2,21,6,5,4.85714285714286,1,"rock",1
"16",3226,3226,2,21,6,5,4.85714285714286,1,"classical",1
"17",3241,3241,2,26,5,3.71428571428571,3.71428571428571,0,"classical",0
"18",3241,3241,2,26,5,3.71428571428571,3.71428571428571,1,"rock",0
"19",3328,3328,2,21,4.66666666666667,4.28571428571429,4.42857142857143,1,"classical",1
"20",3328,3328,2,21,4.66666666666667,4.28571428571429,4.42857142857143,0,"rock",1
"21",3397,3397,1,24,5.55555555555556,4,4.71428571428571,0,"classical",0
"22",3397,3397,1,24,5.55555555555556,4,4.71428571428571,0,"rock",0
"23",3421,3421,2,19,5.44444444444444,3.71428571428571,3.71428571428571,1,"classical",0
"24",3421,3421,2,19,5.44444444444444,3.71428571428571,3.71428571428571,1,"rock",0
"25",3433,3433,1,21,5.88888888888889,4.85714285714286,5.42857142857143,1,"classical",0
"26",3433,3433,1,21,5.88888888888889,4.85714285714286,5.42857142857143,1,"rock",0
"27",3436,3436,1,29,6,4.85714285714286,4.71428571428571,0,"rock",1
"28",3496,3496,2,19,5.77777777777778,2,3.42857142857143,1,"classical",1
"29",3496,3496,2,19,5.77777777777778,2,3.42857142857143,1,"rock",1
"30",3517,3517,2,23,6.11111111111111,2.71428571428571,3.71428571428571,1,"classical",0
"31",3517,3517,2,23,6.11111111111111,2.71428571428571,3.71428571428571,0,"rock",0
"32",3553,3553,2,21,6.11111111111111,4,4.71428571428571,1,"rock",0
"33",3553,3553,2,21,6.11111111111111,4,4.71428571428571,0,"classical",0
"34",3559,3559,2,23,4.88888888888889,2,2.85714285714286,1,"classical",0
"35",3559,3559,2,23,4.88888888888889,2,2.85714285714286,0,"rock",0
"36",3574,3574,1,21,5.55555555555556,5,4.85714285714286,0,"rock",1
"37",3574,3574,1,21,5.55555555555556,5,4.85714285714286,1,"classical",1
"38",3583,3583,2,21,5.44444444444444,4.85714285714286,4.57142857142857,1,"rock",0
"39",3583,3583,2,21,5.44444444444444,4.85714285714286,4.57142857142857,1,"classical",0
"40",3598,3598,2,20,4.55555555555556,2.28571428571429,2.85714285714286,1,"rock",1
"41",3598,3598,2,20,4.55555555555556,2.28571428571429,2.85714285714286,1,"classical",1
"42",3613,3613,2,27,5.11111111111111,2.71428571428571,3.28571428571429,1,"rock",0
"43",3613,3613,2,27,5.11111111111111,2.71428571428571,3.28571428571429,1,"classical",0
"44",3616,3616,2,19,4.66666666666667,1.42857142857143,2.14285714285714,0,"rock",1
"45",3616,3616,2,19,4.66666666666667,1.42857142857143,2.14285714285714,1,"classical",1
"46",3622,3622,2,20,5.44444444444444,5.42857142857143,5.85714285714286,0,"rock",1
"47",3622,3622,2,20,5.44444444444444,5.42857142857143,5.85714285714286,0,"classical",1
"48",3637,3637,1,20,5,4.85714285714286,5,1,"rock",0
"49",3637,3637,1,20,5,4.85714285714286,5,0,"classical",0
"50",3646,3646,2,19,5.77777777777778,5.42857142857143,5.57142857142857,1,"rock",1
"51",3646,3646,2,19,5.77777777777778,5.42857142857143,5.57142857142857,1,"classical",1
"52",3667,3667,1,27,5.88888888888889,3.14285714285714,3.57142857142857,0,"rock",0
"53",3667,3667,1,27,5.88888888888889,3.14285714285714,3.57142857142857,1,"classical",0
"54",3742,3742,2,20,6.11111111111111,4.71428571428571,4.71428571428571,1,"classical",1
"55",3742,3742,2,20,6.11111111111111,4.71428571428571,4.71428571428571,0,"rock",1
"56",3751,3751,2,21,5.33333333333333,3.42857142857143,4.14285714285714,0,"rock",0
"57",3751,3751,2,21,5.33333333333333,3.42857142857143,4.14285714285714,0,"classical",0
"58",3760,3760,2,30,5.88888888888889,5,4.71428571428571,1,"classical",1
"59",3760,3760,2,30,5.88888888888889,5,4.71428571428571,1,"rock",1
"60",3772,3772,1,20,6,5,5.28571428571429,1,"rock",1
"61",3772,3772,1,20,6,5,5.28571428571429,1,"classical",1
"62",3808,3808,2,20,5.22222222222222,4.71428571428571,4.57142857142857,0,"classical",1
"63",3808,3808,2,20,5.22222222222222,4.71428571428571,4.57142857142857,1,"rock",1
"64",3841,3841,2,19,6.44444444444444,3,4.14285714285714,0,"classical",0
"65",3841,3841,2,19,6.44444444444444,3,4.14285714285714,0,"rock",0
"66",3919,3919,2,28,5.11111111111111,2.14285714285714,2.71428571428571,1,"classical",0
"67",3919,3919,2,28,5.11111111111111,2.14285714285714,2.71428571428571,1,"rock",0
"68",3931,3931,2,23,7,6.42857142857143,6.71428571428571,1,"classical",0
"69",3931,3931,2,23,7,6.42857142857143,6.71428571428571,1,"rock",0
"70",3937,3937,2,20,5.77777777777778,5.42857142857143,5.57142857142857,1,"classical",0
"71",3937,3937,2,20,5.77777777777778,5.42857142857143,5.57142857142857,1,"rock",0
"72",3967,3967,2,20,5.33333333333333,2.85714285714286,3.57142857142857,0,"rock",0
"73",3967,3967,2,20,5.33333333333333,2.85714285714286,3.57142857142857,1,"classical",0
"74",3994,3994,2,20,5.88888888888889,6.14285714285714,6.14285714285714,0,"rock",1
"75",3994,3994,2,20,5.88888888888889,6.14285714285714,6.14285714285714,0,"classical",1
"76",4009,4009,1,21,5.44444444444444,4,4.28571428571429,0,"rock",0
"77",4009,4009,1,21,5.44444444444444,4,4.28571428571429,0,"classical",0
"78",4018,4018,1,23,4.55555555555556,1.57142857142857,2.14285714285714,0,"rock",1
"79",4018,4018,1,23,4.55555555555556,1.57142857142857,2.14285714285714,1,"classical",1
"80",4036,4036,2,19,4.33333333333333,2.28571428571429,3,0,"rock",1
"81",4036,4036,2,19,4.33333333333333,2.28571428571429,3,1,"classical",1
"82",4048,4048,1,32,4.88888888888889,1.42857142857143,2.42857142857143,0,"classical",1
"83",4048,4048,1,32,4.88888888888889,1.42857142857143,2.42857142857143,0,"rock",1
"84",4060,4060,2,20,6.44444444444444,4.57142857142857,5.42857142857143,0,"classical",1
"85",4060,4060,2,20,6.44444444444444,4.57142857142857,5.42857142857143,0,"rock",1
"86",4078,4078,1,21,4.33333333333333,2.57142857142857,2.71428571428571,0,"rock",1
"87",4078,4078,1,21,4.33333333333333,2.57142857142857,2.71428571428571,0,"classical",1
"88",4156,4156,2,24,4,1.71428571428571,1.85714285714286,0,"rock",1
"89",4156,4156,2,24,4,1.71428571428571,1.85714285714286,0,"classical",1
"90",4168,4168,2,19,6.22222222222222,4.14285714285714,4.71428571428571,1,"rock",1
"91",4168,4168,2,19,6.22222222222222,4.14285714285714,4.71428571428571,1,"classical",1
"92",4183,4183,2,20,5.66666666666667,2.85714285714286,3.28571428571429,0,"rock",0
"93",4183,4183,2,20,5.66666666666667,2.85714285714286,3.28571428571429,1,"classical",0
"94",4195,4195,2,19,5.33333333333333,2.57142857142857,3.57142857142857,1,"rock",0
"95",4195,4195,2,19,5.33333333333333,2.57142857142857,3.57142857142857,1,"classical",0
"96",4246,4246,2,26,5.77777777777778,4.57142857142857,5.28571428571429,1,"classical",1
"97",4246,4246,2,26,5.77777777777778,4.57142857142857,5.28571428571429,1,"rock",1
