sex_resp.response,age_resp.text,key_resp.keys,key_resp.rt,GSI_slider.response,GSI_slider.rt,GSI_question_loop.thisRepN,GSI_question_loop.thisTrialN,GSI_question_loop.thisN,GSI_question_loop.thisIndex,GSI_question_loop.ran,scale,questions_english,questions_german,labeller,labels_marks,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,wm_recall_response.text,wm_practice_2.thisRepN,wm_practice_2.thisTrialN,wm_practice_2.thisN,wm_practice_2.thisIndex,wm_practice_2.ran,wm_practice_1.thisRepN,wm_practice_1.thisTrialN,wm_practice_1.thisN,wm_practice_1.thisIndex,wm_practice_1.ran,wm_instruct_toggle.thisRepN,wm_instruct_toggle.thisTrialN,wm_instruct_toggle.thisN,wm_instruct_toggle.thisIndex,wm_instruct_toggle.ran,wm_load_key.keys,wm_load_key.rt,wm_load_toggle.thisRepN,wm_load_toggle.thisTrialN,wm_load_toggle.thisN,wm_load_toggle.thisIndex,wm_load_toggle.ran,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_slider.history,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,confidence_resp.response,confidence_resp.rt,confidence_resp.history,confidence_key.keys,confidence_key.rt,wm_recall_toggle.thisRepN,wm_recall_toggle.thisTrialN,wm_recall_toggle.thisN,wm_recall_toggle.thisIndex,wm_recall_toggle.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,eval_key.keys,eval_key.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,knew_key.keys,knew_key.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
,,,,4,0.3822,0,10,10,2,1,perceptual abilities,I can tell when people sing or play out of time with the beat,"Ich kann beurteilen, ob jemand nicht im Rhythmus mit der Musik singt oder spielt.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.3241,0,11,11,1,1,perceptual abilities,I can compare and discuss differences between two performances or versions of the same piece of music,Ich kann zwei Interpretationen oder Versionen desselben Musikstücks miteinander vergleichen und über die Unterschiede diskutieren.,"Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.4327,0,12,12,15,1,musical training,I would not consider myself a musician,Ich würde mich selbst nicht als Musiker/-in bezeichnen,"Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.2925,0,13,13,14,1,musical training,During my life time I have had formal training on a musical instrument (including voice) for ___ years,Ich habe ___ Jahre Musikunterricht auf einem Instrument (einschließlich Gesang) in meinem bisherigen Leben gehabt.,"0, 1, 2, 3, 4-5, 6-9, 10 oder mehr"," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.3165,0,14,14,0,1,perceptual abilities,I am able to judge whether someone is a good singer or not,"Ich kann beurteilen, ob jemand gut singt oder nicht.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.2826,0,15,15,4,1,perceptual abilities,I find it difficult to spot mistakes in a performance of a song even if I know the tune,"Ich finde es schwierig Fehler festzustellen, die ein Sänger macht, selbst wenn ich das Lied kenne.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,DRBYMKS,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,space,0.5254,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,space,0.51,4,0.8608,"[{""rating"":4,""responseTime"":0.8607999999523201}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.3287,"[{""rating"":4,""responseTime"":0.3287000000476752}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.2239,"[{""rating"":4,""responseTime"":0.22390000009535527}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5518,"[{""rating"":4,""responseTime"":0.5517999999523084}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",dsfa ,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",fasd ,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,CFHJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.9995,"[{""rating"":4,""responseTime"":5.9837000000476905},{""rating"":4,""responseTime"":5.999499999999998}]",space,0.3175,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird in ungefähr 45 Sekunden abgespielt.",beatles.wav,baseline,rock,2,CMFSJBNR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,space,0.626,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,space,1.3266,4,1.0646,"[{""rating"":4,""responseTime"":1.0646000000238445}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.8424,"[{""rating"":4,""responseTime"":0.8423999999761662}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.3242,"[{""rating"":4,""responseTime"":0.3242000000476821}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.3194,"[{""rating"":4,""responseTime"":0.31939999997615587}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",sdf asd,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
